compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
29767-20-2,furin,0.7801499999999999,0.8593500000000001,0.9236,0.878275,0.12121573605215898,0.30590000000000006,0.0718547203274311,0.06424999999999992,-0.14345000000000008
10347-81-6,furin,0.8512500000000001,0.7497499999999999,0.65405,0.7188166666666665,0.15729459516037628,0.45130000000000003,0.09861421466164672,-0.0956999999999999,0.19720000000000004
53994-73-3,furin,0.4975,0.7964,0.36455,0.5306583333333332,0.22287688454989377,0.603,0.22117539608494732,-0.43185,0.13295
49562-28-9,furin,0.02745,0.88325,0.2914,0.44469166666666665,0.4216393055681598,0.9059999999999999,0.43824454075321917,-0.59185,-0.26395
51-52-5,furin,0.7822,0.2063,0.8261000000000001,0.6121833333333334,0.339412390266865,0.8448,0.34586607716475076,0.6198,-0.04390000000000005
315-30-0,furin,0.68285,0.8724,0.78145,0.7953333333333333,0.14724806280559347,0.39559999999999995,0.09480072520819659,-0.09094999999999998,-0.09860000000000002
1405-10-3,furin,0.2894,0.7451000000000001,0.18095,0.38707500000000006,0.3027320779170916,0.7636000000000001,0.29935739927384464,-0.5641500000000002,0.10844999999999999
58-14-0,furin,0.3643,0.83175,0.16225,0.4190916666666667,0.31907476030965953,0.746,0.34340548311483515,-0.6695,0.20205
19237-84-4,furin,0.41465,0.20034999999999997,0.6148,0.44329166666666664,0.2021288170119903,0.5563,0.20726525476628577,0.41445000000000004,-0.20015
23288-49-5,furin,0.1533,0.9338,0.8068,0.7402166666666669,0.39681993901516593,0.9202,0.4188021609304326,-0.127,-0.6535
147-94-4,furin,0.48875,0.8224,0.94065,0.8259166666666665,0.28448003796400195,0.7552,0.23434980797943913,0.11824999999999997,-0.45189999999999997
65-29-2,furin,0.06055,0.76205,0.09015,0.3091833333333333,0.3632367093232731,0.8571000000000001,0.39674257396957036,-0.6719,-0.029599999999999994
24356-60-3,furin,0.29775,0.9965,0.45735000000000003,0.6104666666666667,0.3751497869740388,0.8182,0.36615261959097517,-0.53915,-0.15960000000000002
186826-86-8,furin,0.55635,0.46375,0.35465,0.42463333333333336,0.2157826939307228,0.6001,0.1009624187507411,-0.10909999999999997,0.2017
101-26-8,furin,0.50485,0.9653499999999999,0.8139000000000001,0.812875,0.3494159049995673,0.8867,0.23470167411702314,-0.15144999999999986,-0.30905000000000005
15687-27-1,furin,0.5379499999999999,0.10185,0.53965,0.3934333333333333,0.27274807973659504,0.7182,0.2522746320976407,0.43779999999999997,-0.0017000000000000348
286930-03-8,furin,0.3346,0.4099,0.8382499999999999,0.611525,0.2674012147815837,0.6973,0.27166681032716034,0.42834999999999995,-0.5036499999999999
3424-98-4,furin,0.6915,0.7851,0.35414999999999996,0.5540250000000001,0.22558555583192821,0.647,0.2266729968478822,-0.43095000000000006,0.33735000000000004
14976-57-9,furin,0.8175,0.69705,0.24825,0.4927250000000001,0.30179821735722695,0.753,0.29999311242093546,-0.4488,0.56925
160970-54-7,furin,0.8181499999999999,0.5211,0.47765,0.5488833333333333,0.2313275225014669,0.5755,0.1853226263394012,-0.04344999999999999,0.3404999999999999
3543-75-7,furin,0.44165,0.40775,0.50335,0.4611999999999999,0.28019429984685035,0.6879,0.04846899352507056,0.09559999999999996,-0.06169999999999998
144060-53-7,furin,0.12965,0.8028500000000001,0.73795,0.6582,0.33789827709928716,0.8094,0.3713576757431215,-0.06490000000000007,-0.6083000000000001
95233-18-4,furin,0.5493,0.43865,0.9949,0.7352166666666667,0.34154033290374364,0.8617,0.2944534046330591,0.55625,-0.4456
91374-20-8,furin,0.6541,0.3537,0.53515,0.4944916666666667,0.2148661761810515,0.6152,0.1512797436318998,0.18145,0.11895
58186-27-9,furin,0.2417,0.99205,0.8405,0.7912166666666667,0.35871774094218795,0.8271,0.3967690270589847,-0.15154999999999996,-0.5988
17321-77-6,furin,0.58535,0.7923,0.026549999999999997,0.37493333333333334,0.37273280868024844,0.7842,0.3961184176901313,-0.76575,0.5588000000000001
117-37-3,furin,0.80525,0.5906,0.6407,0.651425,0.20494813734210907,0.5628,0.11229524700538308,0.05010000000000003,0.16454999999999997
62571-86-2,furin,0.8302,0.9864999999999999,0.97315,0.9537750000000002,0.07931642326782012,0.17379999999999995,0.08664353697766493,-0.013349999999999973,-0.1429499999999999
41340-25-4,furin,0.1003,0.7968999999999999,0.7072,0.6359499999999999,0.35345170532903075,0.843,0.37895146127175705,-0.08969999999999989,-0.6069
302962-49-8,furin,0.43979999999999997,0.59875,0.44589999999999996,0.4958333333333333,0.25360537389153776,0.7106999999999999,0.09006056758278473,-0.15285000000000004,-0.006099999999999994
63-74-1,furin,0.29655,0.9387,0.96305,0.8438499999999999,0.3499802603957352,0.8124,0.37797085315316753,0.024349999999999983,-0.6665
2508-72-7,furin,0.77945,0.6715,0.24064999999999998,0.47406666666666664,0.32066236241047474,0.7261000000000001,0.2850702734999448,-0.43085,0.5388
85371-64-8,furin,0.0741,0.92475,0.9855499999999999,0.8133749999999998,0.4559052035968296,0.9336,0.5095820452423077,0.060799999999999965,-0.9114499999999999
58-56-0,furin,0.50985,0.6872,0.8719,0.7499916666666667,0.2523627765737253,0.6920999999999999,0.18103743397430266,0.18469999999999998,-0.36205
115256-11-6,furin,0.21284999999999998,0.8773500000000001,0.49240000000000006,0.5741250000000001,0.342489740965575,0.6877,0.33364026410691705,-0.38495,-0.2795500000000001
188062-50-2,furin,0.94035,0.28635,0.5074,0.505875,0.31125567411160016,0.7231,0.33267221229512595,0.22104999999999997,0.43295000000000006
40828-46-4,furin,0.33735000000000004,0.5766,0.96655,0.7317,0.2868220121724737,0.704,0.3175936095599742,0.38995,-0.6292
139110-80-8,furin,0.70135,0.6715500000000001,0.90235,0.7919166666666668,0.22768229985369234,0.5527,0.1255372985743015,0.2307999999999999,-0.20099999999999996
375815-87-5,furin,0.3627,0.0637,0.07865,0.12100833333333333,0.2718650676346632,0.7054,0.16847794366029045,0.014949999999999991,0.28405
56211-40-6,furin,0.3163,0.90125,0.3696,0.5379333333333334,0.30272410376446734,0.7532,0.3234344639954128,-0.53165,-0.05329999999999996
58-96-8,furin,0.3696,0.8679,0.8763000000000001,0.7890500000000001,0.2849908349403538,0.7312,0.29014891004448046,0.008400000000000074,-0.5067000000000002
