compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
366-70-1,222.16008868008998,0.022600000000001286,57.74,3,2,1,5,1,1,16,0.4166666666666667,2,0.4858594129526428
50-78-2,179.03498228391,-0.024600000000000066,66.43,0,4,-1,2,1,1,13,0.1111111111111111,2,0.4721709057370543
59-67-6,122.02475194791,-0.5549000000000002,53.019999999999996,0,3,-1,1,1,1,9,0.0,0,0.5015757599713943
147403-03-0,456.14336974,4.1918000000000015,123.23999999999998,2,6,0,7,5,5,34,0.12,0,0.37629475381700994
51-48-9,775.6794233799101,1.8737999999999997,100.06,1,4,-1,5,2,2,24,0.13333333333333333,1,0.46977723947561195
89-57-6,152.03531663191,-0.6621000000000001,86.38,2,4,-1,1,1,1,11,0.0,2,0.4127367486568201
63675-72-9,388.16343648799995,3.201800000000002,107.77000000000001,1,7,0,6,2,1,28,0.4,3,0.45278603663958333
93-14-1,198.089208928,0.4272000000000001,58.92,2,4,0,5,1,1,14,0.4,0,0.7198499687675642
56180-94-0,645.2480135359999,-8.721900000000014,329.01,14,19,0,13,3,0,44,0.88,2,0.06526150429771298
25451-15-4,238.095356928,0.9607999999999993,104.64000000000001,2,4,0,5,1,1,17,0.2727272727272727,0,0.796471019540729
2022-85-7,129.033839968,-0.5088000000000001,71.77,2,3,0,0,1,1,9,0.0,0,0.4952172017431901
554-57-4,237.01105856809,-1.4265999999999994,106.02999999999999,2,5,1,2,1,1,14,0.4,2,0.485692555587665
50-44-2,152.015667128,1.0154899999999998,57.36,2,3,0,0,2,2,10,0.0,1,0.5538546640663037
156-57-0,78.03719667608999,-0.8418999999999999,27.64,2,1,1,1,0,0,4,1.0,1,0.3826710259651884
50-01-1,60.05562361208999,-2.9811000000000005,77.63,3,0,1,0,0,0,4,0.0,2,0.2059078383213915
99464-64-9,447.11002101200006,2.558700000000001,124.13,1,8,0,6,3,2,31,0.25,2,0.5292289566712126
82419-36-1,362.15106079209,0.1269000000000004,76.21000000000001,2,4,1,2,4,2,26,0.4444444444444444,0,0.7941990246820108
122647-32-9,385.25194046408996,2.746900000000001,70.84,3,3,1,14,1,1,26,0.7,1,0.4313371447281132
149003-01-0,268.117154992,-3.341299999999995,102.09,2,5,0,3,2,0,19,0.6363636363636364,1,0.5209612072880093
112811-59-3,375.15943440399997,-0.38049999999999895,91.21000000000001,1,5,0,4,4,2,27,0.47368421052631576,0,0.7867122884676202
51803-78-2,308.046692484,2.7586000000000013,98.54,1,5,0,5,2,2,21,0.07692307692307693,2,0.6760870934103842
29767-20-2,656.156362084,2.752900000000001,160.83,3,14,0,6,8,3,46,0.46875,1,0.33279567772779733
10347-81-6,278.19032618809,3.185200000000002,16.61,1,0,1,4,5,2,21,0.4,1,0.827287868802689
53994-73-3,367.039354608,-1.4301999999999977,117.18,2,5,0,4,3,1,24,0.26666666666666666,1,0.6326134956755325
49562-28-9,360.112836832,4.680000000000004,52.6,0,4,0,6,2,2,25,0.3,2,0.5540618915195044
51-52-5,170.05138394,1.38499,48.65,2,2,0,2,1,1,11,0.42857142857142855,1,0.6587322532597095
315-30-0,136.038510748,-0.35380000000000006,74.43,2,3,0,0,2,2,10,0.0,0,0.5192368565638923
1405-10-3,617.33411488827,-11.045700000000018,357.97,13,16,3,9,4,0,42,1.0,0,0.11409542276550341
58-14-0,248.08287409599998,2.5238000000000005,77.82,2,4,0,2,2,2,17,0.16666666666666666,0,0.8561371493463951
19237-84-4,384.16663060409,1.2037000000000002,108.2,1,7,1,4,4,3,28,0.3157894736842105,0,0.7199663115061383
23288-49-5,516.309572776,9.908299999999995,40.46,2,4,0,4,2,2,35,0.6129032258064516,2,0.3131966868527805
147-94-4,243.085520516,-2.563,130.82999999999998,4,7,0,2,2,1,17,0.5555555555555556,0,0.4489304892314893
65-29-2,510.46182204026996,5.452500000000005,27.69,0,3,3,21,1,1,36,0.8,1,0.2058221894673444
24356-60-3,422.04860081191,-0.8592999999999977,128.73000000000002,1,9,-1,7,3,1,28,0.35294117647058826,3,0.3389583327822128
186826-86-8,401.17508446799997,0.009600000000001385,91.21000000000001,1,5,0,4,5,2,29,0.5238095238095238,0,0.7794781534995434
101-26-8,181.09715407609,0.5714999999999999,33.42,0,2,1,1,1,1,13,0.3333333333333333,1,0.5934152756520555
15687-27-1,205.12340336391,1.7385,40.129999999999995,0,2,-1,4,1,1,15,0.46153846153846156,0,0.7507790478562271
286930-03-8,412.28462049609,3.964000000000003,50.97,2,3,1,10,2,2,30,0.5,2,0.4586748183521858
3424-98-4,242.090271548,-1.5142799999999992,104.54999999999998,3,5,0,2,2,1,17,0.6,0,0.5842742137821719
14976-57-9,344.17756858409,3.687300000000003,13.670000000000002,1,1,1,6,3,2,24,0.42857142857142855,0,0.8434347002657723
160970-54-7,496.24176761609,2.0448999999999993,101.63000000000001,3,5,1,13,3,2,35,0.48,1,0.3686922871485279
3543-75-7,356.09380581990996,1.9299000000000002,61.190000000000005,0,4,-1,9,2,2,23,0.5,1,0.6437291201561798
144060-53-7,315.08088691991,2.3885000000000005,86.03999999999999,0,6,-1,5,2,2,22,0.3125,0,0.8452708717294677
95233-18-4,365.09499569591,4.307400000000004,57.199999999999996,0,3,-1,2,4,2,26,0.2727272727272727,0,0.7964488091269492
91374-20-8,261.19613984009,1.4285999999999992,33.54,2,1,1,7,2,1,19,0.5625,0,0.7646979750202495
