compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
60-56-0,114.02516919199999,1.08269,20.72,1,2,0,0,1,1,7,0.25,1,0.5004564356679512
6018-19-5,152.03531663191,-0.6621000000000001,86.38000000000001,2,4,-1,1,1,1,11,0.0,1,0.5226981672670166
603-50-9,362.13868454009,3.531500000000002,66.74000000000001,0,4,1,5,3,3,27,0.13636363636363635,2,0.5143465855871371
61-16-5,212.12811985609,0.36759999999999987,66.33,2,3,1,4,1,1,15,0.45454545454545453,0,0.7573373146692539
61-76-7,168.10190510809,-0.38119999999999954,57.07000000000001,3,2,1,3,1,1,12,0.3333333333333333,0,0.5759050364891328
61318-91-0,397.00942897208995,5.937100000000003,19.07,0,2,1,6,3,3,24,0.16666666666666666,0,0.502765756351852
61718-82-9,319.16278902409,2.484700000000001,58.46,1,3,1,9,1,1,22,0.5333333333333333,3,0.43177125648076126
61825-94-3,115.12297490008999,-0.5018,53.66,2,1,1,0,1,0,8,1.0,0,0.43906166996000917
62-31-7,154.08625504409,-0.11780000000000018,68.10000000000001,3,2,1,2,1,1,11,0.25,1,0.5198058308412843
62-97-5,278.19032618809,4.358700000000004,0.0,0,0,1,2,3,2,21,0.3,1,0.7160780584944451
62013-04-1,835.55258162809,0.7846000000000122,197.52999999999997,6,15,1,12,4,0,58,0.9761904761904762,2,0.1191944833561378
624-49-7,144.042258736,-0.11140000000000017,52.60000000000001,0,4,0,2,0,0,10,0.3333333333333333,2,0.40047702269500696
62571-86-2,216.06998788791,-0.7068000000000001,60.44,1,4,-1,3,1,0,14,0.7777777777777778,1,0.6341732873757703
62893-19-0,644.1351243719103,-2.4466999999999928,223.08999999999995,3,14,-1,9,5,2,44,0.4,3,0.14672379292554738
63-45-6,260.17573874409,2.065899999999999,61.79,2,3,1,6,2,2,19,0.4,0,0.8354730963570144
63-74-1,172.030648496,-0.08380000000000004,86.18,2,3,0,1,1,1,11,0.0,1,0.5805509816764027
63-92-3,304.14626845609,2.777800000000001,13.670000000000002,1,1,1,8,2,2,21,0.3333333333333333,1,0.7405096547242407
