compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,exact_mol_wt,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,qed
274693-27-5,furin,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,0.7896,0.7461,0.1733,0.1487,0.4733,0.8426,522.186080816,2.0136999999999996,138.44,4,11,10,5,3,36,0.5652173913043478,0.2310407817268838
65277-42-1,furin,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cc[nH+]c4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.992,0.7328,0.5922,0.5254,0.7514,0.7083,531.15603718809,3.624900000000002,70.31,0,6,7,5,3,36,0.3846153846153846,0.4651941170332461
65473-14-5,furin,C[N@@H+](CC=Cc1ccccc1)Cc1cccc2ccccc12,0.1937,0.6441,0.7002,0.2167,0.8487,0.7165,288.17467612409,3.5679000000000025,4.44,1,0,5,3,3,22,0.1428571428571428,0.7318946986800634
175865-59-5,furin,CC(C)[C@H]([NH3+])C(=O)OC[C@@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21,0.9479,0.909,0.5306,0.3603,0.5429,0.1229,355.1724442560901,-2.1534999999999975,172.99,4,9,8,2,2,25,0.5714285714285714,0.3876197134248116
148849-67-6,furin,COc1cc2c(cc1OC)CC(=O)N(CCC[N@@H+](C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,0.99,0.9807,0.9123,0.9355,0.2417,0.1385,469.26969870408993,1.8929000000000016,61.67,1,5,10,4,2,34,0.5185185185185185,0.5760234412491368
192725-17-0,furin,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,0.8117,0.1138,0.5797,0.6347,0.4375,0.3424,628.362470636,4.328140000000003,120.0,4,5,15,4,3,46,0.4324324324324324,0.199874123748593
63-45-6,furin,COc1cc(N[C@@H](C)CCC[NH3+])c2ncccc2c1,0.9042,0.8437,0.7303,0.8513,0.8986,0.5036,260.17573874409,2.065899999999999,61.79,2,3,6,2,2,19,0.4,0.8354730963570144
443913-73-3,furin,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CC[N@H+](C)CC1,0.302,0.7606,0.6984,0.353,0.6018,0.5278,475.1139427800901,3.587100000000002,60.709999999999994,2,5,6,4,3,30,0.3636363636363636,0.5698509702629736
61-76-7,furin,C[NH2+]C[C@@H](O)c1cccc(O)c1,0.6653,0.6959,0.0711,0.3155,0.2399,0.2793,168.10190510809,-0.3811999999999995,57.07000000000001,3,2,3,1,1,12,0.3333333333333333,0.5759050364891328
440-17-5,furin,CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0.7409,0.2394,0.2387,0.2363,0.438,0.2239,408.17157988009,3.528500000000002,10.920000000000002,1,3,4,4,2,28,0.4285714285714285,0.8307344936157748
184475-35-2,furin,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1,0.9783,0.9155,0.6607,0.9556,0.3534,0.8868,447.15937298009,2.858500000000001,69.94000000000001,2,6,8,4,3,31,0.3636363636363636,0.5174237388633043
